onset	duration	trial_type	trial_name	stim_file	stim_file_index	event_sample	ISI	task_name
3	0.5	3	VERTICAL-L-R-1	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	1	1536	0.35	prf
3.8496	0.5	4	VERTICAL-L-R-2	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	2	1971	0.35	prf
4.7012	0.5	5	VERTICAL-L-R-3	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	3	2407	0.35	prf
5.8008	0.5	6	VERTICAL-L-R-4	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	4	2970	0.35	prf
6.6504	0.5	7	VERTICAL-L-R-5	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	5	3405	0.35	prf
7.5	0.5	8	VERTICAL-L-R-6	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	6	3840	0.35	prf
8.25	0.5	9	VERTICAL-L-R-7	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	7	4224	0.35	prf
8.9512	0.5	10	VERTICAL-L-R-8	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	8	4583	0.35	prf
9.8008	0.5	11	VERTICAL-L-R-9	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	9	5018	0.35	prf
10.9004	0.5	12	VERTICAL-L-R-10	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	10	5581	0.35	prf
11.752	0.5	13	VERTICAL-L-R-11	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	11	6017	0.35	prf
12.6016	0.5	14	VERTICAL-L-R-12	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	12	6452	0.35	prf
13.4512	0.5	15	VERTICAL-L-R-13	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	13	6887	0.35	prf
14.3008	0.5	16	VERTICAL-L-R-14	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	14	7322	0.35	prf
15.4023	0.5	17	VERTICAL-L-R-15	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	15	7886	0.35	prf
16.0352	0.5	18	VERTICAL-L-R-16	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	16	8210	0.35	prf
16.8516	0.5	19	VERTICAL-L-R-17	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	17	8628	0.35	prf
17.5195	0.5	20	VERTICAL-L-R-18	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	18	8970	0.35	prf
18.3027	0.5	21	VERTICAL-L-R-19	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	19	9371	0.35	prf
19.1523	0.5	22	VERTICAL-L-R-20	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	20	9806	0.35	prf
20.252	0.5	23	VERTICAL-L-R-21	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	21	10369	0.35	prf
21.1016	0.5	24	VERTICAL-L-R-22	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	22	10804	0.35	prf
21.7031	0.5	25	VERTICAL-L-R-23	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	23	11112	0.35	prf
22.5527	0.5	26	VERTICAL-L-R-24	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	24	11547	0.35	prf
23.4023	0.5	27	VERTICAL-L-R-25	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	25	11982	0.35	prf
24.502	0.5	28	VERTICAL-L-R-26	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	26	12545	0.35	prf
25.3535	0.5	29	VERTICAL-L-R-27	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	27	12981	0.35	prf
26.2031	0.5	30	VERTICAL-L-R-28	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	28	13416	0.35	prf
27.0527	0.5	59	DIAGONAL-RD-LU-1	sub-p05_ses-nyuecog01_task-prf_acq-clinical_run-01.mat	29	13851	0.35	prf
