onset	duration	ISI	trial_type	trial_name	stim_file	stim_file_index	event_sample	task_name
12.043	0.500	0.3500	3	VERTICAL-L-R-1	sub-p02_ses-umcuiemu01_task-prf_acq-clinical_run-02.mat	1	n/a	prf
12.893	0.500	0.3500	4	VERTICAL-L-R-2	sub-p02_ses-umcuiemu01_task-prf_acq-clinical_run-02.mat	2	n/a	prf
13.743	0.500	0.3500	5	VERTICAL-L-R-3	sub-p02_ses-umcuiemu01_task-prf_acq-clinical_run-02.mat	3	n/a	prf
14.593	0.500	0.3500	6	VERTICAL-L-R-4	sub-p02_ses-umcuiemu01_task-prf_acq-clinical_run-02.mat	4	n/a	prf
15.443	0.500	0.3500	7	VERTICAL-L-R-5	sub-p02_ses-umcuiemu01_task-prf_acq-clinical_run-02.mat	5	n/a	prf
16.293	0.500	0.3500	8	VERTICAL-L-R-6	sub-p02_ses-umcuiemu01_task-prf_acq-clinical_run-02.mat	6	n/a	prf
17.144	0.500	0.3500	9	VERTICAL-L-R-7	sub-p02_ses-umcuiemu01_task-prf_acq-clinical_run-02.mat	7	n/a	prf
17.994	0.500	0.3500	10	VERTICAL-L-R-8	sub-p02_ses-umcuiemu01_task-prf_acq-clinical_run-02.mat	8	n/a	prf
18.844	0.500	0.3500	11	VERTICAL-L-R-9	sub-p02_ses-umcuiemu01_task-prf_acq-clinical_run-02.mat	9	n/a	prf
19.694	0.500	0.3500	12	VERTICAL-L-R-10	sub-p02_ses-umcuiemu01_task-prf_acq-clinical_run-02.mat	10	n/a	prf
20.544	0.500	0.3500	13	VERTICAL-L-R-11	sub-p02_ses-umcuiemu01_task-prf_acq-clinical_run-02.mat	11	n/a	prf
21.394	0.500	0.3500	14	VERTICAL-L-R-12	sub-p02_ses-umcuiemu01_task-prf_acq-clinical_run-02.mat	12	n/a	prf
22.244	0.500	0.3500	15	VERTICAL-L-R-13	sub-p02_ses-umcuiemu01_task-prf_acq-clinical_run-02.mat	13	n/a	prf
23.094	0.500	0.3500	16	VERTICAL-L-R-14	sub-p02_ses-umcuiemu01_task-prf_acq-clinical_run-02.mat	14	n/a	prf
23.944	0.500	0.3500	17	VERTICAL-L-R-15	sub-p02_ses-umcuiemu01_task-prf_acq-clinical_run-02.mat	15	n/a	prf
24.795	0.500	0.3500	18	VERTICAL-L-R-16	sub-p02_ses-umcuiemu01_task-prf_acq-clinical_run-02.mat	16	n/a	prf
25.645	0.500	0.3500	19	VERTICAL-L-R-17	sub-p02_ses-umcuiemu01_task-prf_acq-clinical_run-02.mat	17	n/a	prf
