onset	duration	ISI	trial_type	trial_name	stim_file	stim_file_index	stim_file_index2	category_repeat	event_sample	task_name
3.0117	0.133	0.033	2	BUILDINGS-SAMETWOPULSE-2	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	33	25	1	1542	sixcatlocisidiff
4.3789	0.133	0.133	5	SCENES-SAMETWOPULSE-4	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	116	104	1	2242	sixcatlocisidiff
6.0801	0.133	0.067	5	SCENES-DIFFTWOPULSE-3	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	98	96	0	3113	sixcatlocisidiff
7.3965	0.133	0.067	4	OBJECTS-DIFFTWOPULSE-3	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	92	12	0	3787	sixcatlocisidiff
8.8145	0.133	0.033	5	SCENES-DIFFTWOPULSE-2	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	119	1	0	4513	sixcatlocisidiff
10.1289	0.133	0.067	5	SCENES-DIFFTWOPULSE-3	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	112	48	0	5186	sixcatlocisidiff
11.7637	0.133	0.133	6	SCRAMBLED-SAMETWOPULSE-4	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	132	136	1	6023	sixcatlocisidiff
13.2812	0.133	0.133	1	BODIES-SAMETWOPULSE-4	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	20	3	1	6800	sixcatlocisidiff
14.6816	0.133	0.033	4	OBJECTS-SAMETWOPULSE-2	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	84	88	1	7517	sixcatlocisidiff
16.0156	0.133	0.133	4	OBJECTS-SAMETWOPULSE-4	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	91	83	1	8200	sixcatlocisidiff
17.6816	0.133	0.033	6	SCRAMBLED-DIFFTWOPULSE-2	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	134	106	0	9053	sixcatlocisidiff
19.0156	0.133	0.133	2	BUILDINGS-SAMETWOPULSE-4	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	26	33	1	9736	sixcatlocisidiff
20.6484	0.133	0.067	3	FACES-SAMETWOPULSE-3	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	54	49	1	10572	sixcatlocisidiff
22	0.133	0.067	1	BODIES-SAMETWOPULSE-3	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	3	2	1	11264	sixcatlocisidiff
23.75	0.133	0.267	6	SCRAMBLED-SAMETWOPULSE-5	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	131	126	1	12160	sixcatlocisidiff
25.2656	0.133	0.067	2	BUILDINGS-SAMETWOPULSE-3	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	38	42	1	12936	sixcatlocisidiff
26.6816	0.133	0.017	6	SCRAMBLED-DIFFTWOPULSE-1	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	121	43	0	13661	sixcatlocisidiff
28.1172	0.133	0.133	2	BUILDINGS-DIFFTWOPULSE-4	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	28	82	0	14396	sixcatlocisidiff
29.5996	0.133	0.267	3	FACES-SAMETWOPULSE-5	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	64	60	1	15155	sixcatlocisidiff
30.8496	0.133	0.067	4	OBJECTS-SAMETWOPULSE-3	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	95	91	1	15795	sixcatlocisidiff
32.2344	0.133	0.533	6	SCRAMBLED-DIFFTWOPULSE-6	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	127	10	0	16504	sixcatlocisidiff
33.918	0.133	0.017	4	OBJECTS-SAMETWOPULSE-1	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	81	94	1	17366	sixcatlocisidiff
35.6172	0.133	0.267	3	FACES-DIFFTWOPULSE-5	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	52	121	0	18236	sixcatlocisidiff
37.0352	0.133	0.067	2	BUILDINGS-DIFFTWOPULSE-3	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	40	19	0	18962	sixcatlocisidiff
38.6836	0.133	0.033	6	SCRAMBLED-SAMETWOPULSE-2	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	123	125	1	19806	sixcatlocisidiff
40.0176	0.133	0.033	2	BUILDINGS-SAMETWOPULSE-2	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	47	35	1	20489	sixcatlocisidiff
41.2852	0.133	0.067	3	FACES-SAMETWOPULSE-3	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	55	64	1	21138	sixcatlocisidiff
42.5352	0.133	0.067	1	BODIES-SAMETWOPULSE-3	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	16	8	1	21778	sixcatlocisidiff
43.8008	0.133	0.133	4	OBJECTS-DIFFTWOPULSE-4	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	82	46	0	22426	sixcatlocisidiff
45.3848	0.133	0.533	1	BODIES-DIFFTWOPULSE-6	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	11	61	0	23237	sixcatlocisidiff
47.1016	0.133	0.017	5	SCENES-DIFFTWOPULSE-1	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	107	32	0	24116	sixcatlocisidiff
48.4004	0.133	0.267	1	BODIES-DIFFTWOPULSE-5	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	19	97	0	24781	sixcatlocisidiff
49.9199	0.133	0.267	1	BODIES-SAMETWOPULSE-5	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	13	6	1	25559	sixcatlocisidiff
51.3359	0.133	0.133	3	FACES-DIFFTWOPULSE-4	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	68	140	0	26284	sixcatlocisidiff
52.8867	0.133	0.267	6	SCRAMBLED-SAMETWOPULSE-5	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	126	122	1	27078	sixcatlocisidiff
54.3379	0.133	0.067	2	BUILDINGS-DIFFTWOPULSE-3	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	46	100	0	27821	sixcatlocisidiff
55.9355	0.133	0.067	6	SCRAMBLED-DIFFTWOPULSE-3	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	135	44	0	28639	sixcatlocisidiff
57.6543	0.133	0.533	1	BODIES-SAMETWOPULSE-6	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-01.mat	2	18	1	29519	sixcatlocisidiff
