onset	duration	ISI	trial_type	trial_name	stim_file	stim_file_index	event_sample	task_name
3	0.5333	0	30	ONEPULSE-6	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	131	1536	soc
4.2676	0.0333	0	26	ONEPULSE-2	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	107	2185	soc
5.75	0.5	0	18	LETTERS-2	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	83	2944	soc
7.4004	0.5	0	1	CRF-1	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	5	3789	soc
8.7344	0.5	0	3	CRF-3	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	17	4472	soc
10	0.5	0	20	LETTERS-4	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	87	5120	soc
11.4512	0.5	0	13	FACES-1	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	73	5863	soc
12.8184	0.5	0	19	LETTERS-3	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	85	6563	soc
14.4512	0.5	0	2	CRF-2	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	11	7399	soc
16.1016	0.5	0	4	CRF-4	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	23	8244	soc
17.4863	0.5	0	15	FACES-3	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	77	8953	soc
18.9023	0.1333	0.2667	35	TWOPULSE-5	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	161	9678	soc
20.3691	0.5	0	23	SCENES-3	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	93	10429	soc
21.7031	0.1333	0	28	ONEPULSE-4	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	119	11112	soc
23.4531	0.1333	0.0333	32	TWOPULSE-2	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	143	12008	soc
25.0039	0.5	0	5	CRF-5	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	29	12802	soc
26.6875	0.5	0	7	PLAID	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	41	13664	soc
28.4043	0.1333	0.0667	33	TWOPULSE-3	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	149	14543	soc
29.6543	0.1333	0.0167	31	TWOPULSE-1	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	137	15183	soc
30.9551	0.5	0	9	SPARSITY-1	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	53	15849	soc
32.4707	0.5	0	6	GRATING	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	35	16625	soc
33.9707	0.0667	0	27	ONEPULSE-3	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	113	17393	soc
35.6543	0.5	0	11	SPARSITY-3	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	65	18255	soc
37.0059	0.5	0	21	SCENES-1	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	89	18947	soc
38.5898	0.5	0	16	FACES-4	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	79	19758	soc
40.1387	0.0167	0	25	ONEPULSE-1	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	101	20551	soc
41.7051	0.5	0	14	FACES-2	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	75	21353	soc
43.4238	0.5	0	17	LETTERS-1	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	81	22233	soc
45.0059	0.1333	0.1333	34	TWOPULSE-4	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	155	23043	soc
46.5059	0.5	0	24	SCENES-4	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	95	23811	soc
48.1562	0.1333	0.5333	36	TWOPULSE-6	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	167	24656	soc
49.4414	0.5	0	22	SCENES-2	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	91	25314	soc
50.8242	0.5	0	8	CIRCULAR	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	47	26022	soc
52.2578	0.2667	0	29	ONEPULSE-5	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	125	26756	soc
53.9922	0.5	0	10	SPARSITY-2	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	59	27644	soc
55.4082	0.5	0	12	SPARSITY-4	sub-p04_ses-nyuecog01_task-soc_acq-clinical_run-04.mat	71	28369	soc
