onset	duration	ISI	trial_type	trial_name	stim_file	stim_file_index	stim_file_index2	category_repeat	event_sample	task_name
3.002	0.133	0.067	3	FACES-SAMETWOPULSE-3	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-02.mat	61	64	1	1537	sixcatlocisidiff
4.4512	0.133	0.267	1	BODIES-SAMETWOPULSE-5	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-02.mat	16	1	1	2279	sixcatlocisidiff
5.9863	0.133	0.017	6	SCRAMBLED-SAMETWOPULSE-1	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-02.mat	129	125	1	3065	sixcatlocisidiff
7.5195	0.133	0.033	3	FACES-DIFFTWOPULSE-2	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-02.mat	62	119	0	3850	sixcatlocisidiff
9.1191	0.133	0.017	4	OBJECTS-SAMETWOPULSE-1	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-02.mat	93	73	1	4669	sixcatlocisidiff
10.6523	0.133	0.267	1	BODIES-DIFFTWOPULSE-5	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-02.mat	7	83	0	5454	sixcatlocisidiff
12.1035	0.133	0.017	3	FACES-SAMETWOPULSE-1	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-02.mat	69	61	1	6197	sixcatlocisidiff
13.7363	0.133	0.133	6	SCRAMBLED-DIFFTWOPULSE-4	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-02.mat	139	109	0	7033	sixcatlocisidiff
15.0195	0.133	0.017	5	SCENES-DIFFTWOPULSE-1	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-02.mat	108	47	0	7690	sixcatlocisidiff
16.4199	0.133	0.067	1	BODIES-SAMETWOPULSE-3	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-02.mat	22	23	1	8407	sixcatlocisidiff
17.8203	0.133	0.533	1	BODIES-SAMETWOPULSE-6	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-02.mat	21	16	1	9124	sixcatlocisidiff
19.2539	0.133	0.067	5	SCENES-DIFFTWOPULSE-3	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-02.mat	106	30	0	9858	sixcatlocisidiff
20.8359	0.133	0.267	3	FACES-SAMETWOPULSE-5	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-02.mat	65	59	1	10668	sixcatlocisidiff
22.5039	0.133	0.267	2	BUILDINGS-SAMETWOPULSE-5	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-02.mat	36	41	1	11522	sixcatlocisidiff
23.7695	0.133	0.017	6	SCRAMBLED-DIFFTWOPULSE-1	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-02.mat	130	66	0	12170	sixcatlocisidiff
25.2871	0.133	0.133	2	BUILDINGS-SAMETWOPULSE-4	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-02.mat	43	34	1	12947	sixcatlocisidiff
26.7383	0.133	0.133	3	FACES-SAMETWOPULSE-4	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-02.mat	49	69	1	13690	sixcatlocisidiff
28.1367	0.133	0.267	2	BUILDINGS-DIFFTWOPULSE-5	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-02.mat	30	120	0	14406	sixcatlocisidiff
29.7891	0.133	0.017	4	OBJECTS-SAMETWOPULSE-1	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-02.mat	88	76	1	15252	sixcatlocisidiff
31.0879	0.133	0.533	4	OBJECTS-DIFFTWOPULSE-6	sub-p12_ses-nyuecog01_task-sixcatlocisidiff_acq-clinical_run-02.mat	77	102	0	15917	sixcatlocisidiff
