onset	duration	ISI	trial_type	trial_name	stim_file	stim_file_index	event_sample	task_name
3	0.133	0.017	1	BODIES-TWOPULSE-1	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	11	1536	sixcatloctemporal
4.2676	0.133	0.067	2	BUILDINGS-TWOPULSE-3	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	32	2185	sixcatloctemporal
5.9336	0.133	0.267	5	SCENES-TWOPULSE-5	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	115	3038	sixcatloctemporal
7.4844	0.133	0.017	6	SCRAMBLED-TWOPULSE-1	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	125	3832	sixcatloctemporal
9.1836	0.133	0.133	6	SCRAMBLED-TWOPULSE-4	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	136	4702	sixcatloctemporal
10.6348	0.133	0.533	1	BODIES-TWOPULSE-6	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	21	5445	sixcatloctemporal
12.0508	0.133	0.133	6	SCRAMBLED-TWOPULSE-4	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	141	6170	sixcatloctemporal
13.668	0.033	0	1	BODIES-ONEPULSE-2	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	20	6998	sixcatloctemporal
15.3848	0.017	0	4	OBJECTS-ONEPULSE-1	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	80	7877	sixcatloctemporal
16.8359	0.133	0.017	3	FACES-TWOPULSE-1	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	54	8620	sixcatloctemporal
18.1523	0.267	0	5	SCENES-ONEPULSE-5	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	104	9294	sixcatloctemporal
19.8027	0.133	0.267	1	BODIES-TWOPULSE-5	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	12	10139	sixcatloctemporal
21.4355	0.133	0.017	2	BUILDINGS-TWOPULSE-1	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	25	10975	sixcatloctemporal
22.7871	0.133	0.067	6	SCRAMBLED-TWOPULSE-3	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	128	11667	sixcatloctemporal
24.4863	0.533	0	2	BUILDINGS-ONEPULSE-6	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	46	12537	sixcatloctemporal
26.0703	0.067	0	3	FACES-ONEPULSE-3	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	51	13348	sixcatloctemporal
27.5371	0.133	0	4	OBJECTS-ONEPULSE-4	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	86	14099	sixcatloctemporal
29.2695	0.133	0.133	5	SCENES-TWOPULSE-4	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	101	14986	sixcatloctemporal
30.9883	0.133	0.533	4	OBJECTS-TWOPULSE-6	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	79	15866	sixcatloctemporal
32.3711	0.133	0.533	5	SCENES-TWOPULSE-6	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	117	16574	sixcatloctemporal
34.0371	0.533	0	1	BODIES-ONEPULSE-6	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	5	17427	sixcatloctemporal
35.5039	0.033	0	2	BUILDINGS-ONEPULSE-2	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	45	18178	sixcatloctemporal
37.2383	0.133	0.133	2	BUILDINGS-TWOPULSE-4	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	28	19066	sixcatloctemporal
38.5391	0.267	0	2	BUILDINGS-ONEPULSE-5	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	30	19732	sixcatloctemporal
39.9883	0.133	0	6	SCRAMBLED-ONEPULSE-4	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	123	20474	sixcatloctemporal
41.4395	0.067	0	1	BODIES-ONEPULSE-3	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	17	21217	sixcatloctemporal
43.0059	0.017	0	1	BODIES-ONEPULSE-1	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	2	22019	sixcatloctemporal
44.373	0.133	0.133	5	SCENES-TWOPULSE-4	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	97	22719	sixcatloctemporal
45.7383	0.133	0	2	BUILDINGS-ONEPULSE-4	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	26	23418	sixcatloctemporal
47.3066	0.133	0.033	5	SCENES-TWOPULSE-2	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	103	24221	sixcatloctemporal
48.7734	0.133	0.033	4	OBJECTS-TWOPULSE-2	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	73	24972	sixcatloctemporal
50.2559	0.133	0	6	SCRAMBLED-ONEPULSE-4	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	139	25731	sixcatloctemporal
51.5742	0.033	0	6	SCRAMBLED-ONEPULSE-2	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	137	26406	sixcatloctemporal
53.1074	0.133	0.033	6	SCRAMBLED-TWOPULSE-2	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	121	27191	sixcatloctemporal
54.6562	0.133	0.067	1	BODIES-TWOPULSE-3	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	23	27984	sixcatloctemporal
55.9902	0.533	0	4	OBJECTS-ONEPULSE-6	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	77	28667	sixcatloctemporal
57.5566	0.133	0.033	2	BUILDINGS-TWOPULSE-2	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	44	29469	sixcatloctemporal
58.9746	0.067	0	6	SCRAMBLED-ONEPULSE-3	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	143	30195	sixcatloctemporal
60.5918	0.133	0.533	6	SCRAMBLED-TWOPULSE-6	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	140	31023	sixcatloctemporal
62.209	0.133	0.017	1	BODIES-TWOPULSE-1	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	15	31851	sixcatloctemporal
63.7422	0.133	0.017	4	OBJECTS-TWOPULSE-1	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	93	32636	sixcatloctemporal
65.4922	0.133	0.267	6	SCRAMBLED-TWOPULSE-5	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	134	33532	sixcatloctemporal
67.0254	0.533	0	3	FACES-ONEPULSE-6	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	67	34317	sixcatloctemporal
68.6758	0.017	0	2	BUILDINGS-ONEPULSE-1	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	31	35162	sixcatloctemporal
70.3262	0.133	0.067	5	SCENES-TWOPULSE-3	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	110	36007	sixcatloctemporal
72.0762	0.133	0.033	4	OBJECTS-TWOPULSE-2	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	74	36903	sixcatloctemporal
73.7598	0.133	0.017	5	SCENES-TWOPULSE-1	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	112	37765	sixcatloctemporal
75.0762	0.133	0.267	1	BODIES-TWOPULSE-5	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	16	38439	sixcatloctemporal
76.4434	0.133	0.133	2	BUILDINGS-TWOPULSE-4	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	43	39139	sixcatloctemporal
77.877	0.267	0	1	BODIES-ONEPULSE-5	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	6	39873	sixcatloctemporal
79.1602	0.067	0	4	OBJECTS-ONEPULSE-3	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	92	40530	sixcatloctemporal
80.7773	0.017	0	3	FACES-ONEPULSE-1	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	68	41358	sixcatloctemporal
82.0781	0.533	0	1	BODIES-ONEPULSE-6	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	14	42024	sixcatloctemporal
83.4941	0.133	0.017	5	SCENES-TWOPULSE-1	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	98	42749	sixcatloctemporal
85.2285	0.133	0.267	2	BUILDINGS-TWOPULSE-5	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	27	43637	sixcatloctemporal
86.9277	0.133	0.033	5	SCENES-TWOPULSE-2	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	100	44507	sixcatloctemporal
88.2617	0.033	0	2	BUILDINGS-ONEPULSE-2	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	47	45190	sixcatloctemporal
89.7285	0.133	0	1	BODIES-ONEPULSE-4	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	4	45941	sixcatloctemporal
91.1445	0.067	0	1	BODIES-ONEPULSE-3	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	3	46666	sixcatloctemporal
92.6621	0.133	0.533	3	FACES-TWOPULSE-6	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	56	47443	sixcatloctemporal
94.3965	0.033	0	1	BODIES-ONEPULSE-2	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	13	48331	sixcatloctemporal
95.9297	0.133	0.067	2	BUILDINGS-TWOPULSE-3	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	40	49116	sixcatloctemporal
97.3633	0.133	0.133	3	FACES-TWOPULSE-4	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	58	49850	sixcatloctemporal
99.0957	0.017	0	1	BODIES-ONEPULSE-1	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	18	50737	sixcatloctemporal
100.6289	0.133	0	5	SCENES-ONEPULSE-4	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	102	51522	sixcatloctemporal
102.0137	0.133	0.067	5	SCENES-TWOPULSE-3	sub-p13_ses-nyuecog01_task-sixcatloctemporal_acq-clinical_run-02.mat	99	52231	sixcatloctemporal
