name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	reference	group	description	status	status_description	bb_method	bb_bandwidth
G01	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G02	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G03	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G04	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G05	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G06	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G07	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G08	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G09	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G10	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G11	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G12	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G13	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G14	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G15	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G16	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	bad	low freq	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G17	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	bad	low freq	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G18	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G19	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G20	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G21	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G22	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G23	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G24	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G25	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G26	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G27	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G28	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G29	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G30	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
G31	ECOG	uV^2	200	70	512	n/a	car	grid	n/a	good	n/a	@(bp,banddim)geomean(abs(hilbert(bp)).^2,banddim)	10
