onset	duration	ISI	trial_type	trial_name	stim_file	stim_file_index	stim_file_index2	category_repeat	event_sample	task_name
3	0.133	0.067	1	BODIES-SAMETWOPULSE-3	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	3	6	1	1536	sixcatlocdiffisi
4.6172	0.133	0.017	1	BODIES-SAMETWOPULSE-1	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	21	8	1	2364	sixcatlocdiffisi
6.0352	0.133	0.267	2	BUILDINGS-DIFFTWOPULSE-5	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	37	77	0	3090	sixcatlocdiffisi
7.3848	0.133	0.017	3	FACES-SAMETWOPULSE-1	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	66	71	1	3781	sixcatlocdiffisi
8.834	0.133	0.033	3	FACES-SAMETWOPULSE-2	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	65	55	1	4523	sixcatlocdiffisi
10.252	0.133	0.067	2	BUILDINGS-SAMETWOPULSE-3	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	38	33	1	5249	sixcatlocdiffisi
11.6348	0.133	0.533	5	SCENES-SAMETWOPULSE-6	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	102	116	1	5957	sixcatlocdiffisi
13.0859	0.133	0.133	2	BUILDINGS-DIFFTWOPULSE-4	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	32	59	0	6700	sixcatlocdiffisi
14.6191	0.133	0.533	2	BUILDINGS-DIFFTWOPULSE-6	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	36	75	0	7485	sixcatlocdiffisi
15.9688	0.133	0.067	6	SCRAMBLED-DIFFTWOPULSE-3	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	138	92	0	8176	sixcatlocdiffisi
17.6855	0.133	0.017	4	OBJECTS-SAMETWOPULSE-1	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	94	88	1	9055	sixcatlocdiffisi
19.2852	0.133	0.017	1	BODIES-DIFFTWOPULSE-1	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	12	78	0	9874	sixcatlocdiffisi
20.7695	0.133	0.033	3	FACES-DIFFTWOPULSE-2	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	70	86	0	10634	sixcatlocdiffisi
22.4863	0.133	0.133	2	BUILDINGS-DIFFTWOPULSE-4	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	28	11	0	11513	sixcatlocdiffisi
23.7539	0.133	0.017	1	BODIES-SAMETWOPULSE-1	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	6	4	1	12162	sixcatlocdiffisi
25.3027	0.133	0.533	1	BODIES-DIFFTWOPULSE-6	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	11	96	0	12955	sixcatlocdiffisi
26.8867	0.133	0.133	2	BUILDINGS-SAMETWOPULSE-4	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	27	42	1	13766	sixcatlocdiffisi
28.5039	0.133	0.133	6	SCRAMBLED-SAMETWOPULSE-4	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	136	132	1	14594	sixcatlocdiffisi
29.9707	0.133	0.133	6	SCRAMBLED-SAMETWOPULSE-4	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	132	126	1	15345	sixcatlocdiffisi
31.7207	0.133	0.533	2	BUILDINGS-SAMETWOPULSE-6	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	45	26	1	16241	sixcatlocdiffisi
33.3047	0.133	0.017	5	SCENES-DIFFTWOPULSE-1	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	107	85	0	17052	sixcatlocdiffisi
34.7383	0.133	0.033	6	SCRAMBLED-DIFFTWOPULSE-2	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	134	61	0	17786	sixcatlocdiffisi
36.3379	0.133	0.267	1	BODIES-DIFFTWOPULSE-5	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	19	130	0	18605	sixcatlocdiffisi
37.7383	0.133	0.033	1	BODIES-SAMETWOPULSE-2	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	24	20	1	19322	sixcatlocdiffisi
39.2227	0.133	0.067	3	FACES-DIFFTWOPULSE-3	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	61	105	0	20082	sixcatlocdiffisi
40.7559	0.133	0.067	6	SCRAMBLED-SAMETWOPULSE-3	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	125	136	1	20867	sixcatlocdiffisi
42.0898	0.133	0.267	3	FACES-SAMETWOPULSE-5	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	67	60	1	21550	sixcatlocdiffisi
43.373	0.133	0.533	6	SCRAMBLED-DIFFTWOPULSE-6	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	128	46	0	22207	sixcatlocdiffisi
44.9219	0.133	0.017	2	BUILDINGS-DIFFTWOPULSE-1	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	41	107	0	23000	sixcatlocdiffisi
46.3066	0.133	0.067	5	SCENES-SAMETWOPULSE-3	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	117	109	1	23709	sixcatlocdiffisi
47.957	0.133	0.017	5	SCENES-SAMETWOPULSE-1	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	99	108	1	24554	sixcatlocdiffisi
49.6895	0.133	0.033	2	BUILDINGS-DIFFTWOPULSE-2	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	31	15	0	25441	sixcatlocdiffisi
51.1074	0.133	0.267	5	SCENES-DIFFTWOPULSE-5	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	110	73	0	26167	sixcatlocdiffisi
52.623	0.133	0.033	6	SCRAMBLED-SAMETWOPULSE-2	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	124	142	1	26943	sixcatlocdiffisi
54.207	0.133	0.033	6	SCRAMBLED-SAMETWOPULSE-2	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	123	133	1	27754	sixcatlocdiffisi
55.8906	0.133	0.067	5	SCENES-DIFFTWOPULSE-3	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	98	10	0	28616	sixcatlocdiffisi
57.1914	0.133	0.133	1	BODIES-DIFFTWOPULSE-4	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	10	72	0	29282	sixcatlocdiffisi
58.7402	0.133	0.133	5	SCENES-SAMETWOPULSE-4	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	116	102	1	30075	sixcatlocdiffisi
60.0742	0.133	0.067	2	BUILDINGS-DIFFTWOPULSE-3	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	46	68	0	30758	sixcatlocdiffisi
61.4746	0.133	0.033	3	FACES-SAMETWOPULSE-2	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	49	62	1	31475	sixcatlocdiffisi
62.8242	0.133	0.033	2	BUILDINGS-SAMETWOPULSE-2	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	33	39	1	32166	sixcatlocdiffisi
64.0918	0.133	0.267	4	OBJECTS-DIFFTWOPULSE-5	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	87	138	0	32815	sixcatlocdiffisi
65.4082	0.133	0.533	3	FACES-SAMETWOPULSE-6	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	56	63	1	33489	sixcatlocdiffisi
66.8086	0.133	0.267	5	SCENES-SAMETWOPULSE-5	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	104	117	1	34206	sixcatlocdiffisi
68.5586	0.133	0.267	4	OBJECTS-DIFFTWOPULSE-5	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	85	98	0	35102	sixcatlocdiffisi
69.8262	0.133	0.267	2	BUILDINGS-DIFFTWOPULSE-5	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	34	58	0	35751	sixcatlocdiffisi
71.1094	0.133	0.533	5	SCENES-DIFFTWOPULSE-6	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	105	53	0	36408	sixcatlocdiffisi
72.377	0.133	0.017	4	OBJECTS-DIFFTWOPULSE-1	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	78	44	0	37057	sixcatlocdiffisi
73.8926	0.133	0.267	2	BUILDINGS-SAMETWOPULSE-5	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	25	30	1	37833	sixcatlocdiffisi
75.209	0.133	0.533	4	OBJECTS-DIFFTWOPULSE-6	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	73	5	0	38507	sixcatlocdiffisi
76.9277	0.133	0.133	5	SCENES-SAMETWOPULSE-4	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	109	118	1	39387	sixcatlocdiffisi
78.5762	0.133	0.133	1	BODIES-SAMETWOPULSE-4	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	9	18	1	40231	sixcatlocdiffisi
79.9434	0.133	0.267	1	BODIES-SAMETWOPULSE-5	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	18	2	1	40931	sixcatlocdiffisi
81.4102	0.133	0.533	2	BUILDINGS-DIFFTWOPULSE-6	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	48	93	0	41682	sixcatlocdiffisi
82.7109	0.133	0.067	4	OBJECTS-DIFFTWOPULSE-3	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	77	37	0	42348	sixcatlocdiffisi
84.1113	0.133	0.017	6	SCRAMBLED-SAMETWOPULSE-1	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	142	124	1	43065	sixcatlocdiffisi
85.4121	0.133	0.067	4	OBJECTS-DIFFTWOPULSE-3	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	92	140	0	43731	sixcatlocdiffisi
87.0938	0.133	0.533	5	SCENES-DIFFTWOPULSE-6	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	115	144	0	44592	sixcatlocdiffisi
88.3789	0.133	0.133	4	OBJECTS-SAMETWOPULSE-4	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	76	94	1	45250	sixcatlocdiffisi
89.6777	0.133	0.533	4	OBJECTS-SAMETWOPULSE-6	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	90	79	1	45915	sixcatlocdiffisi
91.3613	0.133	0.067	1	BODIES-DIFFTWOPULSE-3	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	22	40	0	46777	sixcatlocdiffisi
93.0293	0.133	0.033	2	BUILDINGS-SAMETWOPULSE-2	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	47	45	1	47631	sixcatlocdiffisi
94.5957	0.133	0.267	3	FACES-DIFFTWOPULSE-5	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	52	43	0	48433	sixcatlocdiffisi
96.2461	0.133	0.133	4	OBJECTS-DIFFTWOPULSE-4	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	82	70	0	49278	sixcatlocdiffisi
97.8789	0.133	0.033	4	OBJECTS-DIFFTWOPULSE-2	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	93	112	0	50114	sixcatlocdiffisi
99.3125	0.133	0.267	4	OBJECTS-SAMETWOPULSE-5	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	89	81	1	50848	sixcatlocdiffisi
100.9629	0.133	0.533	5	SCENES-SAMETWOPULSE-6	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	103	104	1	51693	sixcatlocdiffisi
102.5977	0.133	0.267	2	BUILDINGS-SAMETWOPULSE-5	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	39	29	1	52530	sixcatlocdiffisi
104.0801	0.133	0.133	5	SCENES-DIFFTWOPULSE-4	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	106	57	0	53289	sixcatlocdiffisi
105.5645	0.133	0.017	2	BUILDINGS-SAMETWOPULSE-1	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	29	35	1	54049	sixcatlocdiffisi
107.2637	0.133	0.017	6	SCRAMBLED-SAMETWOPULSE-1	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	137	131	1	54919	sixcatlocdiffisi
108.8301	0.133	0.033	2	BUILDINGS-DIFFTWOPULSE-2	sub-p13_ses-nyuecog01_task-sixcatlocdiffisi_acq-clinical_run-03.mat	44	128	0	55721	sixcatlocdiffisi
